,Date,News_Source,Tweet_Number,compound,neg,neu,pos
234,2017-12-08,@CNN,66,-0.296,0.164,0.727,0.109
235,2017-12-08,@CNN,65,0.0772,0.108,0.769,0.123
236,2017-12-08,@CNN,64,0.128,0.105,0.769,0.126
237,2017-12-08,@CNN,63,-0.5478,0.247,0.689,0.063
238,2017-12-08,@CNN,62,0.0,0.0,1.0,0.0
239,2017-12-08,@CNN,61,0.4019,0.0,0.847,0.153
240,2017-12-08,@CNN,60,-0.4588,0.143,0.857,0.0
241,2017-12-08,@CNN,59,-0.3818,0.167,0.741,0.093
242,2017-12-08,@CNN,58,0.3818,0.107,0.67,0.223
243,2017-12-08,@CNN,57,0.0772,0.102,0.78,0.117
244,2017-12-08,@CNN,56,0.4019,0.0,0.863,0.137
245,2017-12-08,@CNN,55,0.296,0.058,0.825,0.117
246,2017-12-08,@CNN,54,-0.296,0.115,0.885,0.0
247,2017-12-08,@CNN,53,-0.5994,0.197,0.803,0.0
248,2017-12-08,@CNN,52,0.2263,0.0,0.905,0.095
249,2017-12-08,@CNN,51,-0.3818,0.147,0.784,0.069
250,2017-12-08,@CNN,50,-0.1967,0.09,0.91,0.0
251,2017-12-08,@CNN,49,0.4019,0.0,0.847,0.153
252,2017-12-08,@CNN,48,0.7579,0.0,0.649,0.351
253,2017-12-08,@CNN,47,0.3612,0.0,0.884,0.116
254,2017-12-08,@CNN,46,0.1027,0.12,0.744,0.136
255,2017-12-08,@CNN,45,0.128,0.105,0.769,0.126
256,2017-12-08,@CNN,44,0.128,0.0,0.927,0.073
257,2017-12-08,@CNN,43,0.0,0.0,1.0,0.0
258,2017-12-08,@CNN,42,0.4019,0.0,0.863,0.137
259,2017-12-08,@CNN,41,-0.5994,0.197,0.803,0.0
260,2017-12-08,@CNN,40,0.2263,0.0,0.905,0.095
261,2017-12-08,@CNN,39,0.0,0.0,1.0,0.0
262,2017-12-08,@CNN,38,-0.7003,0.27,0.73,0.0
263,2017-12-08,@CNN,37,0.3818,0.0,0.852,0.148
264,2017-12-08,@CNN,36,-0.6113,0.25,0.75,0.0
265,2017-12-08,@CNN,35,0.2732,0.0,0.905,0.095
266,2017-12-08,@CNN,34,0.0,0.0,1.0,0.0
267,2017-12-08,@CNN,33,0.0,0.0,1.0,0.0
268,2017-12-08,@CNN,32,0.7269,0.0,0.663,0.337
269,2017-12-08,@CNN,31,-0.296,0.115,0.885,0.0
270,2017-12-08,@CNN,30,0.4588,0.103,0.675,0.222
271,2017-12-08,@CNN,29,0.5574,0.0,0.847,0.153
272,2017-12-08,@CNN,28,-0.8316,0.468,0.532,0.0
